yarn_tensile_strength,yarn_elongation_at_break,yarn_hairiness_index,twist_per_meter,yarn_linear_density_dtex,loom_rpm,loom_tension_variation,ambient_relative_humidity,ambient_temperature_c,weft_insertion_rate,defect_class,defect_name
25.81,20.64,6.66,429.0,2137.6,644.8,20.66,41.4,34.2,499.9,1,OIL_STAIN
27.49,16.85,2.97,455.1,2387.6,704.2,24.47,60.4,27.9,612.3,2,JACQUARD_PATTERN_SHIFT
17.11,11.67,5.39,412.1,2322.3,630.0,44.31,52.5,27.2,504.9,0,YARN_BREAKAGE
25.67,15.12,4.51,306.0,1889.1,613.1,19.23,64.6,24.2,519.5,3,BORDER_SEWING_DEFECT
13.64,9.54,4.66,416.3,1987.4,668.4,42.18,60.7,22.0,537.7,0,YARN_BREAKAGE
21.63,17.79,4.19,304.3,1907.2,564.5,12.26,57.5,26.2,499.3,3,BORDER_SEWING_DEFECT
27.24,12.46,7.95,443.1,2132.8,626.0,23.09,46.5,27.5,539.5,1,OIL_STAIN
26.53,15.67,6.57,404.4,2088.6,599.9,23.91,45.5,33.8,498.5,1,OIL_STAIN
22.38,11.78,2.33,327.6,2034.6,574.9,22.42,62.3,23.8,462.8,3,BORDER_SEWING_DEFECT
26.95,15.87,9.01,432.4,2328.0,639.7,17.46,44.8,31.4,540.5,1,OIL_STAIN
14.27,7.71,6.18,384.5,2205.5,613.8,39.94,59.7,27.0,512.4,0,YARN_BREAKAGE
15.56,9.68,4.53,402.4,2205.7,619.7,41.84,56.3,21.0,556.8,0,YARN_BREAKAGE
23.73,23.46,6.46,426.3,2233.5,608.2,21.97,44.0,28.7,554.8,1,OIL_STAIN
18.26,8.52,6.24,432.1,2149.7,593.2,37.27,60.5,23.6,523.9,0,YARN_BREAKAGE
14.23,8.73,4.34,405.0,2163.2,554.0,45.36,56.4,25.5,497.8,0,YARN_BREAKAGE
23.18,19.26,5.93,454.1,2336.8,589.5,28.87,37.8,32.1,480.4,1,OIL_STAIN
18.84,16.06,8.43,430.8,2284.4,557.6,22.01,41.3,30.9,528.0,1,OIL_STAIN
25.97,19.23,6.45,442.1,2331.0,574.2,27.26,45.7,31.2,567.4,1,OIL_STAIN
27.59,17.4,3.88,462.3,2449.1,703.7,24.96,56.0,27.5,590.2,2,JACQUARD_PATTERN_SHIFT
16.09,10.41,4.72,411.3,2020.5,591.7,39.06,57.2,23.4,532.1,0,YARN_BREAKAGE
27.23,19.1,4.37,472.4,2507.3,710.1,22.02,54.3,25.6,609.5,2,JACQUARD_PATTERN_SHIFT
16.72,15.36,2.25,313.5,1978.1,574.4,16.87,55.3,27.0,514.8,3,BORDER_SEWING_DEFECT
23.71,17.94,3.15,296.9,1863.8,565.5,12.46,59.1,26.7,513.7,3,BORDER_SEWING_DEFECT
26.71,19.02,4.67,479.9,2470.0,713.7,25.79,59.9,18.1,598.1,2,JACQUARD_PATTERN_SHIFT
14.31,8.54,3.98,447.1,2352.0,655.4,48.54,58.8,21.2,526.0,0,YARN_BREAKAGE
14.38,8.52,3.97,401.3,2194.8,583.4,40.29,62.2,21.3,570.1,0,YARN_BREAKAGE
26.85,16.26,2.27,297.9,2061.6,625.5,21.75,61.2,20.2,557.8,3,BORDER_SEWING_DEFECT
28.22,19.32,2.9,294.1,1955.6,627.3,13.94,62.1,22.4,498.1,3,BORDER_SEWING_DEFECT
28.36,13.62,5.07,315.3,1902.6,612.4,23.8,64.3,24.8,476.8,3,BORDER_SEWING_DEFECT
26.32,18.99,4.15,349.2,1950.2,566.6,23.53,63.8,22.7,482.3,3,BORDER_SEWING_DEFECT
29.44,16.66,3.15,465.8,2557.5,724.4,26.85,57.5,28.6,608.2,2,JACQUARD_PATTERN_SHIFT
25.97,17.58,5.62,488.0,2478.0,699.2,26.67,59.4,28.1,623.9,2,JACQUARD_PATTERN_SHIFT
29.17,19.21,7.23,425.2,2218.6,563.0,27.85,51.8,32.2,542.0,1,OIL_STAIN
29.09,16.12,3.3,501.2,2492.3,681.3,21.23,64.0,25.0,605.5,2,JACQUARD_PATTERN_SHIFT
30.23,13.43,4.33,456.5,2415.8,679.4,24.85,52.6,26.6,593.8,2,JACQUARD_PATTERN_SHIFT
15.52,11.57,3.65,427.9,2254.6,596.2,44.55,50.9,24.7,503.8,0,YARN_BREAKAGE
26.8,17.49,4.01,313.0,2006.0,587.8,25.53,61.4,22.4,515.7,3,BORDER_SEWING_DEFECT
23.91,16.04,8.82,420.6,2311.1,605.7,23.22,40.1,30.2,559.0,1,OIL_STAIN
23.36,17.89,2.73,328.0,1951.1,632.0,25.74,58.5,25.5,515.4,3,BORDER_SEWING_DEFECT
24.35,20.78,4.76,328.1,1882.3,553.8,23.0,66.0,20.7,522.0,3,BORDER_SEWING_DEFECT
16.19,10.22,4.56,393.8,2147.7,585.3,41.26,55.3,23.5,496.9,0,YARN_BREAKAGE
27.29,13.76,6.58,462.4,2229.7,653.6,22.41,42.7,35.0,553.0,1,OIL_STAIN
19.96,16.08,3.19,320.4,1844.4,638.4,18.82,59.8,20.8,484.4,3,BORDER_SEWING_DEFECT
28.93,18.95,7.14,452.6,2344.6,587.1,21.69,43.1,31.3,515.5,1,OIL_STAIN
25.68,21.03,3.76,469.1,2496.3,672.4,27.02,63.8,22.3,610.0,2,JACQUARD_PATTERN_SHIFT
18.1,11.58,3.87,451.2,2287.3,599.6,46.25,61.5,20.9,581.9,0,YARN_BREAKAGE
24.85,15.48,4.56,318.4,1991.0,614.7,24.56,58.6,22.5,545.7,3,BORDER_SEWING_DEFECT
22.51,18.27,4.67,327.4,1883.9,608.5,18.28,64.1,20.0,490.3,3,BORDER_SEWING_DEFECT
15.55,11.29,5.79,391.7,2139.8,600.8,45.29,57.1,24.2,464.0,0,YARN_BREAKAGE
27.31,18.12,4.2,511.7,2403.6,692.6,19.63,60.1,22.4,622.5,2,JACQUARD_PATTERN_SHIFT
26.15,20.06,5.36,456.3,2484.9,711.4,23.29,59.2,24.1,620.4,2,JACQUARD_PATTERN_SHIFT
13.56,11.08,4.88,443.1,2056.0,598.6,44.34,57.2,22.7,567.0,0,YARN_BREAKAGE
16.43,9.92,5.73,466.8,2152.0,634.4,34.18,60.2,23.8,533.8,0,YARN_BREAKAGE
26.86,22.15,4.61,445.4,2417.7,725.6,25.89,69.6,22.1,674.4,2,JACQUARD_PATTERN_SHIFT
24.49,16.67,7.11,410.1,2264.0,710.6,21.53,43.6,30.5,532.8,1,OIL_STAIN
23.58,13.69,8.46,453.3,2350.7,594.8,20.4,44.9,29.6,516.3,1,OIL_STAIN
31.33,20.55,3.66,468.6,2460.5,700.0,26.83,62.9,25.7,663.0,2,JACQUARD_PATTERN_SHIFT
13.21,8.98,4.69,439.7,2096.3,585.6,37.25,63.1,20.8,562.3,0,YARN_BREAKAGE
14.34,10.07,5.22,416.8,2253.6,562.0,33.31,55.2,21.8,499.5,0,YARN_BREAKAGE
24.98,17.97,4.43,482.6,2442.7,718.6,18.11,52.9,25.2,623.6,2,JACQUARD_PATTERN_SHIFT
21.13,17.48,3.06,305.4,1996.3,579.8,19.49,55.9,24.5,498.2,3,BORDER_SEWING_DEFECT
13.82,12.01,4.5,434.9,2245.8,580.7,46.19,60.9,26.0,522.5,0,YARN_BREAKAGE
23.19,15.07,5.29,295.6,1959.1,613.5,11.65,56.0,22.8,490.4,3,BORDER_SEWING_DEFECT
26.61,20.91,3.52,423.1,2634.8,676.9,26.84,56.5,24.6,574.7,2,JACQUARD_PATTERN_SHIFT
16.08,7.66,5.36,422.6,2374.8,556.0,41.8,59.8,24.3,506.1,0,YARN_BREAKAGE
21.22,16.21,4.21,467.6,2487.0,707.2,22.74,68.3,22.3,677.1,2,JACQUARD_PATTERN_SHIFT
15.99,8.12,5.12,426.8,2067.4,589.5,38.16,53.2,21.3,551.8,0,YARN_BREAKAGE
17.61,8.96,4.29,407.6,2191.1,575.3,43.23,58.2,25.7,532.1,0,YARN_BREAKAGE
20.56,15.03,8.36,489.2,2301.1,645.3,18.68,47.7,29.9,566.3,1,OIL_STAIN
26.53,14.98,4.1,458.9,2514.4,754.9,25.47,58.8,24.2,628.9,2,JACQUARD_PATTERN_SHIFT
24.8,17.41,2.52,325.7,1876.8,548.0,27.8,60.7,20.9,476.6,3,BORDER_SEWING_DEFECT
29.49,16.33,6.61,470.6,2216.2,656.1,23.87,51.2,32.7,484.2,1,OIL_STAIN
19.27,20.57,6.46,466.2,2301.1,646.7,22.63,41.6,33.9,530.3,1,OIL_STAIN
27.03,18.04,3.58,462.4,2465.7,688.1,20.48,56.5,26.2,611.9,2,JACQUARD_PATTERN_SHIFT
21.75,20.98,7.34,447.3,2184.6,646.1,21.32,43.6,30.4,529.3,1,OIL_STAIN
25.65,18.2,3.64,435.5,2354.1,718.2,24.69,62.9,26.3,603.3,2,JACQUARD_PATTERN_SHIFT
28.15,17.79,5.09,470.5,2479.6,727.3,22.59,63.5,27.2,633.6,2,JACQUARD_PATTERN_SHIFT
27.18,17.58,8.39,482.8,2384.8,627.0,20.17,46.0,28.3,565.6,1,OIL_STAIN
27.41,16.51,6.62,432.5,2317.3,672.8,20.18,45.2,28.8,528.6,1,OIL_STAIN
15.2,14.74,7.02,434.1,2254.2,604.3,18.95,44.3,31.7,515.8,1,OIL_STAIN
21.21,19.35,2.59,284.8,1985.4,573.5,16.61,61.4,21.0,499.6,3,BORDER_SEWING_DEFECT
25.0,18.16,6.4,443.6,2324.9,612.5,13.82,42.9,35.4,558.4,1,OIL_STAIN
25.95,20.18,3.74,452.0,2521.5,736.2,21.16,69.1,28.5,662.7,2,JACQUARD_PATTERN_SHIFT
21.75,19.35,4.7,499.4,2471.4,753.1,26.01,59.4,29.4,634.4,2,JACQUARD_PATTERN_SHIFT
23.37,15.67,7.09,453.7,2304.4,644.7,23.34,35.2,31.5,571.3,1,OIL_STAIN
18.26,8.03,4.7,441.7,2265.9,692.2,42.01,64.3,20.8,463.0,0,YARN_BREAKAGE
13.23,7.21,3.7,437.4,2277.0,628.8,44.04,51.3,20.6,469.8,0,YARN_BREAKAGE
30.54,15.52,4.03,481.7,2621.7,701.6,28.66,64.2,23.4,606.9,2,JACQUARD_PATTERN_SHIFT
26.35,11.11,7.38,405.9,2203.2,662.4,20.64,43.2,31.0,505.5,1,OIL_STAIN
27.68,18.34,3.22,319.6,2024.2,598.9,22.16,54.5,21.1,486.7,3,BORDER_SEWING_DEFECT
26.09,14.9,2.89,314.1,2107.8,593.6,24.88,60.0,22.2,525.0,3,BORDER_SEWING_DEFECT
32.36,17.13,7.32,436.3,2133.4,625.3,25.11,42.3,30.8,469.9,1,OIL_STAIN
24.86,18.4,3.11,293.9,2073.5,629.3,20.2,60.6,26.4,473.3,3,BORDER_SEWING_DEFECT
24.31,16.94,5.46,338.0,2015.0,548.6,21.39,66.3,21.3,496.9,3,BORDER_SEWING_DEFECT
25.38,17.67,4.79,462.6,2570.9,709.0,24.61,63.2,22.3,610.7,2,JACQUARD_PATTERN_SHIFT
14.87,9.69,3.08,439.7,2181.8,618.5,42.96,57.9,23.0,529.2,0,YARN_BREAKAGE
29.37,18.84,3.82,446.6,2397.9,688.3,22.98,61.0,21.5,675.3,2,JACQUARD_PATTERN_SHIFT
20.31,17.65,3.28,282.0,2030.9,623.8,19.98,62.4,25.2,501.2,3,BORDER_SEWING_DEFECT
26.68,17.29,4.19,474.5,2508.2,702.5,22.24,64.8,23.8,600.0,2,JACQUARD_PATTERN_SHIFT
17.88,10.28,4.53,434.4,2202.7,685.9,42.06,54.3,22.8,586.5,0,YARN_BREAKAGE
30.38,18.29,2.7,482.1,2486.4,674.1,27.53,55.0,24.0,622.9,2,JACQUARD_PATTERN_SHIFT
25.97,14.8,4.87,311.7,1971.6,679.3,19.67,67.7,23.8,496.8,3,BORDER_SEWING_DEFECT
27.12,22.54,5.91,414.7,2056.7,580.2,25.38,44.8,32.0,518.8,1,OIL_STAIN
29.24,14.19,3.48,499.6,2458.4,691.7,23.45,58.4,25.7,640.3,2,JACQUARD_PATTERN_SHIFT
14.96,11.16,5.3,414.4,2172.5,607.8,46.73,60.1,19.3,544.0,0,YARN_BREAKAGE
30.39,20.67,3.38,489.7,2358.8,713.5,22.03,51.2,22.2,633.8,2,JACQUARD_PATTERN_SHIFT
14.55,10.16,3.56,435.6,2157.6,612.1,37.85,61.4,23.4,551.4,0,YARN_BREAKAGE
28.75,13.32,2.34,317.3,1914.9,602.6,25.03,62.4,20.3,512.2,3,BORDER_SEWING_DEFECT
25.17,17.56,5.41,475.6,2537.2,710.5,26.7,57.0,22.6,636.9,2,JACQUARD_PATTERN_SHIFT
23.42,15.2,4.15,349.0,1993.2,621.9,21.18,65.4,22.5,528.9,3,BORDER_SEWING_DEFECT
28.73,16.98,4.94,431.6,2484.9,716.5,24.22,57.7,23.7,645.6,2,JACQUARD_PATTERN_SHIFT
27.67,19.59,4.83,443.8,2456.4,732.0,28.23,61.6,23.4,639.4,2,JACQUARD_PATTERN_SHIFT
14.05,12.2,5.28,423.0,2255.3,537.3,42.55,57.4,24.6,548.1,0,YARN_BREAKAGE
14.18,8.15,3.84,385.6,2217.4,554.1,37.51,58.7,20.7,433.7,0,YARN_BREAKAGE
28.7,16.18,3.77,490.8,2428.8,701.5,24.16,64.0,28.3,658.8,2,JACQUARD_PATTERN_SHIFT
23.33,18.18,7.09,416.4,2230.7,619.0,22.26,43.2,26.9,567.7,1,OIL_STAIN
17.01,10.83,4.91,414.6,2221.5,605.7,37.08,56.9,25.7,480.6,0,YARN_BREAKAGE
21.73,12.67,2.66,321.3,1983.5,581.4,25.12,65.5,22.8,512.1,3,BORDER_SEWING_DEFECT
22.53,19.82,4.07,317.6,1978.2,596.3,16.22,66.0,24.3,471.3,3,BORDER_SEWING_DEFECT
14.87,10.56,4.88,399.9,2211.7,650.6,44.92,60.3,26.6,584.0,0,YARN_BREAKAGE
17.22,18.52,4.31,316.1,2054.0,562.0,17.71,58.8,23.2,542.9,3,BORDER_SEWING_DEFECT
26.72,14.25,3.85,297.3,1941.4,564.5,18.99,70.6,24.8,471.1,3,BORDER_SEWING_DEFECT
27.66,19.02,3.71,472.2,2528.4,694.7,18.96,60.0,23.9,584.6,2,JACQUARD_PATTERN_SHIFT
33.21,21.3,6.33,418.6,2240.0,604.9,24.76,47.8,30.6,537.6,1,OIL_STAIN
23.3,16.9,4.5,300.6,1952.8,622.8,19.86,67.0,29.7,480.9,3,BORDER_SEWING_DEFECT
30.91,15.87,7.46,450.1,2138.7,626.5,29.64,43.1,32.1,523.1,1,OIL_STAIN
28.22,17.18,5.31,466.3,2522.1,714.0,21.64,63.1,23.9,644.4,2,JACQUARD_PATTERN_SHIFT
25.58,17.47,5.52,458.3,2499.2,707.4,24.18,61.9,25.3,627.1,2,JACQUARD_PATTERN_SHIFT
15.09,7.5,6.71,421.2,2347.6,617.1,51.58,61.0,25.1,493.3,0,YARN_BREAKAGE
28.42,20.38,5.03,448.4,2416.9,716.8,21.37,65.1,23.1,584.4,2,JACQUARD_PATTERN_SHIFT
15.43,10.84,5.02,395.0,2301.9,544.9,43.24,60.0,24.7,512.8,0,YARN_BREAKAGE
25.11,16.59,4.41,290.8,2045.3,587.5,18.89,54.6,21.5,530.9,3,BORDER_SEWING_DEFECT
26.95,14.39,3.63,480.2,2455.2,649.4,16.94,62.2,27.9,623.9,2,JACQUARD_PATTERN_SHIFT
24.51,15.7,4.62,309.7,2003.8,595.5,15.03,61.6,21.7,557.4,3,BORDER_SEWING_DEFECT
16.17,9.45,6.0,457.9,2208.8,584.1,43.43,60.2,26.6,484.6,0,YARN_BREAKAGE
14.47,11.85,5.3,458.1,2298.0,568.7,45.45,54.1,26.7,523.0,0,YARN_BREAKAGE
15.43,10.48,5.2,397.7,2402.5,589.1,45.81,53.7,22.2,564.0,0,YARN_BREAKAGE
24.58,20.75,4.03,334.0,2000.1,622.3,21.64,65.8,22.8,520.2,3,BORDER_SEWING_DEFECT
25.24,17.32,7.49,408.7,2254.3,595.9,22.71,42.9,30.6,542.7,1,OIL_STAIN
22.05,20.14,4.37,435.9,2457.0,699.2,24.42,67.9,24.6,660.8,2,JACQUARD_PATTERN_SHIFT
12.44,13.34,4.97,445.1,2261.7,576.5,38.63,59.5,22.7,501.8,0,YARN_BREAKAGE
26.58,20.17,7.68,390.6,2366.4,659.0,21.51,50.2,30.3,533.1,1,OIL_STAIN
29.68,15.18,3.96,483.2,2485.5,762.1,25.93,48.5,21.2,694.1,2,JACQUARD_PATTERN_SHIFT
21.16,10.95,3.88,411.4,2312.3,619.7,43.56,58.7,23.0,529.8,0,YARN_BREAKAGE
22.94,17.53,7.86,433.6,2215.4,638.8,22.94,42.9,30.5,556.6,1,OIL_STAIN
27.14,13.62,5.23,309.9,1888.1,622.9,12.89,62.4,21.9,546.4,3,BORDER_SEWING_DEFECT
15.2,9.8,3.63,441.4,2252.0,594.1,42.59,60.0,21.9,499.8,0,YARN_BREAKAGE
23.59,14.96,3.05,308.3,1933.6,601.1,27.98,65.5,23.2,501.6,3,BORDER_SEWING_DEFECT
24.02,17.83,7.64,434.0,2280.0,609.0,22.8,43.1,30.6,532.6,1,OIL_STAIN
17.53,10.84,4.39,503.7,2149.5,515.3,36.01,52.7,26.3,573.2,0,YARN_BREAKAGE
24.04,17.69,5.83,388.5,2386.5,612.4,23.11,46.1,31.8,553.4,1,OIL_STAIN
27.09,17.72,3.32,441.1,2482.3,674.4,26.67,64.1,24.6,589.9,2,JACQUARD_PATTERN_SHIFT
17.27,11.49,4.4,448.6,2125.8,676.2,44.37,61.3,23.8,532.0,0,YARN_BREAKAGE
16.61,19.0,3.99,317.3,1976.1,562.8,20.89,57.9,22.9,524.0,3,BORDER_SEWING_DEFECT
30.24,18.36,4.24,429.1,2427.8,728.1,24.68,61.6,23.9,606.1,2,JACQUARD_PATTERN_SHIFT
20.73,15.94,7.05,446.1,2242.6,646.8,16.65,40.1,31.1,530.3,1,OIL_STAIN
27.97,19.19,5.37,452.1,2433.3,706.3,18.79,58.3,22.7,648.4,2,JACQUARD_PATTERN_SHIFT
28.46,21.24,5.56,442.2,2528.6,704.4,21.69,54.5,24.1,586.4,2,JACQUARD_PATTERN_SHIFT
12.98,9.04,4.39,439.2,2305.9,649.5,48.43,58.9,23.1,562.3,0,YARN_BREAKAGE
24.65,20.03,5.35,487.9,2634.5,689.2,24.14,58.8,26.6,624.4,2,JACQUARD_PATTERN_SHIFT
30.73,19.93,3.75,486.8,2513.3,741.6,26.6,66.1,24.7,626.4,2,JACQUARD_PATTERN_SHIFT
29.84,15.17,3.45,445.6,2306.0,705.3,21.88,60.9,22.4,625.6,2,JACQUARD_PATTERN_SHIFT
25.83,18.45,7.28,436.1,2177.9,628.0,24.93,43.6,29.6,525.4,1,OIL_STAIN
27.57,20.28,4.55,491.8,2507.2,689.7,26.35,61.0,23.8,642.4,2,JACQUARD_PATTERN_SHIFT
28.22,16.53,7.33,437.1,2209.0,614.5,25.56,35.1,35.3,590.6,1,OIL_STAIN
14.56,7.48,4.66,422.7,2316.0,602.9,42.84,55.3,26.6,538.3,0,YARN_BREAKAGE
14.97,10.07,4.76,459.9,2256.3,573.5,44.0,63.1,24.5,526.7,0,YARN_BREAKAGE
15.66,11.03,3.06,441.6,2176.0,594.9,36.91,55.6,24.2,502.7,0,YARN_BREAKAGE
28.91,18.76,4.55,437.3,2443.3,719.7,26.62,59.0,22.5,647.6,2,JACQUARD_PATTERN_SHIFT
25.86,19.91,4.66,473.9,2619.1,725.5,22.89,63.3,24.1,594.9,2,JACQUARD_PATTERN_SHIFT
28.02,20.36,7.0,455.0,2110.5,575.5,22.93,40.1,31.1,574.8,1,OIL_STAIN
29.44,14.68,4.75,461.6,2519.8,722.0,23.71,65.4,23.7,640.3,2,JACQUARD_PATTERN_SHIFT
24.68,9.64,6.44,448.1,2305.2,612.9,21.72,40.6,33.7,528.1,1,OIL_STAIN
28.24,17.31,2.78,355.2,1914.3,566.6,20.6,68.4,23.5,564.7,3,BORDER_SEWING_DEFECT
28.37,16.44,7.19,413.2,2084.6,620.3,18.84,45.0,31.7,634.2,1,OIL_STAIN
12.93,8.51,7.01,430.6,2189.9,510.1,46.24,59.5,25.5,569.7,0,YARN_BREAKAGE
12.54,11.16,3.65,455.9,2198.6,639.7,30.67,47.1,25.4,522.1,0,YARN_BREAKAGE
20.39,15.04,4.92,477.1,2565.4,664.0,23.71,71.3,25.0,658.0,2,JACQUARD_PATTERN_SHIFT
27.81,14.36,5.82,476.9,2257.3,636.8,25.59,46.7,30.4,580.0,1,OIL_STAIN
13.94,10.98,3.84,430.2,2063.9,576.1,40.16,56.3,24.0,507.7,0,YARN_BREAKAGE
25.79,16.64,9.78,437.8,2217.6,652.6,20.76,43.2,30.9,517.5,1,OIL_STAIN
25.48,16.07,4.78,468.6,2538.1,698.3,24.86,55.3,23.9,645.6,2,JACQUARD_PATTERN_SHIFT
23.21,14.85,2.06,308.5,1931.6,550.0,23.95,54.3,21.6,546.7,3,BORDER_SEWING_DEFECT
11.96,10.55,4.91,402.9,2249.4,562.2,39.86,55.6,22.7,546.2,0,YARN_BREAKAGE
18.75,6.0,5.81,417.2,2156.7,635.1,42.81,49.0,20.1,550.9,0,YARN_BREAKAGE
26.22,17.15,9.26,419.3,2308.2,631.5,25.42,38.3,30.1,575.5,1,OIL_STAIN
11.26,8.59,5.64,439.8,2237.9,615.4,41.92,51.8,23.9,535.7,0,YARN_BREAKAGE
26.99,20.41,3.25,463.1,2398.7,685.2,23.6,58.1,23.5,617.3,2,JACQUARD_PATTERN_SHIFT
20.74,14.4,4.44,327.8,1966.7,626.3,23.83,55.5,21.0,501.6,3,BORDER_SEWING_DEFECT
24.09,14.77,7.9,430.4,2231.3,647.0,29.06,43.8,33.6,549.1,1,OIL_STAIN
26.6,13.12,3.93,349.1,1886.1,567.3,21.21,60.7,22.8,515.3,3,BORDER_SEWING_DEFECT
