yarn_tensile_strength,yarn_elongation_at_break,yarn_hairiness_index,twist_per_meter,yarn_linear_density_dtex,loom_rpm,loom_tension_variation,ambient_relative_humidity,ambient_temperature_c,weft_insertion_rate,defect_class,defect_name,is_anomaly
14.53,10.11,3.75,432.9,2269.8,593.0,49.51,61.0,22.9,526.4,0,YARN_BREAKAGE,False
13.56,10.67,4.23,435.8,2273.6,582.1,40.91,54.4,24.5,492.9,0,YARN_BREAKAGE,False
29.0,17.29,3.73,440.9,2600.4,719.7,23.09,57.1,20.3,661.8,2,JACQUARD_PATTERN_SHIFT,False
43.9,4.31,4.14,681.8,2514.6,600.6,65.12,50.6,28.7,695.2,-1,ANOMALOUS_NOISE,True
23.0,17.14,4.04,281.3,2073.8,563.5,17.45,62.0,21.4,566.7,3,BORDER_SEWING_DEFECT,False
26.04,15.97,5.03,490.7,2542.1,699.8,19.9,63.7,23.9,623.5,2,JACQUARD_PATTERN_SHIFT,False
12.97,9.45,3.88,447.0,2344.1,627.5,42.44,58.6,24.0,543.2,0,YARN_BREAKAGE,False
18.15,18.23,3.5,332.2,1904.5,633.4,24.46,62.8,23.3,567.7,3,BORDER_SEWING_DEFECT,False
26.68,17.79,4.07,473.9,2425.1,735.5,24.05,61.7,23.3,625.3,2,JACQUARD_PATTERN_SHIFT,False
22.76,20.12,4.18,319.3,1971.7,591.6,27.17,57.9,20.6,560.1,3,BORDER_SEWING_DEFECT,False
18.05,8.3,5.34,445.3,2223.8,629.7,47.42,51.0,22.6,563.4,0,YARN_BREAKAGE,False
13.18,11.21,4.11,438.1,2314.3,613.5,43.92,56.2,23.7,511.6,0,YARN_BREAKAGE,False
25.26,14.46,4.27,313.5,1927.9,538.2,23.7,60.9,19.2,532.5,3,BORDER_SEWING_DEFECT,False
14.04,8.04,3.76,443.0,2377.2,620.1,39.71,55.1,23.9,544.3,0,YARN_BREAKAGE,False
26.73,20.25,3.29,465.0,2461.0,694.7,20.43,64.6,22.5,638.2,2,JACQUARD_PATTERN_SHIFT,False
24.35,21.11,8.6,425.6,2285.2,617.1,23.18,44.8,33.3,522.1,1,OIL_STAIN,False
12.61,8.27,3.68,440.0,2237.1,598.6,39.83,57.5,27.1,546.3,0,YARN_BREAKAGE,False
29.95,16.52,6.38,439.4,2346.3,585.0,20.98,46.9,30.6,592.0,1,OIL_STAIN,False
27.98,15.29,3.06,324.0,1935.8,559.3,20.39,56.1,23.8,516.6,3,BORDER_SEWING_DEFECT,False
20.14,15.25,5.33,356.7,2079.5,649.9,19.37,63.3,21.3,540.3,3,BORDER_SEWING_DEFECT,False
26.11,17.76,7.54,416.5,2404.5,691.0,20.43,41.1,29.5,464.1,1,OIL_STAIN,False
27.46,15.1,4.56,320.2,1985.1,647.0,20.16,54.0,23.4,461.7,3,BORDER_SEWING_DEFECT,False
27.48,14.23,4.35,309.3,1953.3,614.0,20.91,52.2,25.2,526.1,3,BORDER_SEWING_DEFECT,False
18.1,13.24,2.28,319.3,1938.3,657.2,20.63,57.3,19.3,604.6,3,BORDER_SEWING_DEFECT,False
12.7,8.01,4.55,459.0,2142.8,553.0,38.04,58.1,26.7,508.2,0,YARN_BREAKAGE,False
16.53,9.76,4.91,415.2,2208.6,579.8,37.02,66.8,22.5,547.4,0,YARN_BREAKAGE,False
27.04,20.41,7.79,423.6,2287.4,599.5,22.63,43.1,31.0,517.7,1,OIL_STAIN,False
26.28,17.78,2.01,298.9,1947.2,611.1,22.94,60.1,24.2,495.9,3,BORDER_SEWING_DEFECT,False
29.15,15.44,6.24,467.1,2214.2,628.1,23.13,42.5,28.7,504.2,1,OIL_STAIN,False
28.77,9.76,7.11,464.8,2282.9,605.7,26.81,44.7,31.4,530.0,1,OIL_STAIN,False
20.39,19.32,4.95,324.2,1961.1,586.0,20.56,63.2,21.6,543.5,3,BORDER_SEWING_DEFECT,False
14.42,8.74,5.04,445.7,2079.3,578.3,46.38,54.1,22.9,523.0,0,YARN_BREAKAGE,False
31.05,16.26,7.16,444.0,2293.0,624.0,22.08,42.6,31.3,549.2,1,OIL_STAIN,False
23.72,21.7,5.02,313.5,1989.8,670.6,24.26,63.2,21.4,450.7,3,BORDER_SEWING_DEFECT,False
25.04,17.5,6.75,424.8,2362.3,589.2,20.51,45.5,31.1,535.0,1,OIL_STAIN,False
31.21,17.38,7.23,440.3,2188.5,622.1,21.37,41.1,31.0,486.0,1,OIL_STAIN,False
23.62,16.72,4.66,464.1,2535.3,740.0,25.87,58.4,23.9,638.4,2,JACQUARD_PATTERN_SHIFT,False
31.06,17.53,3.85,437.7,2527.8,731.5,25.66,57.7,25.6,584.5,2,JACQUARD_PATTERN_SHIFT,False
24.62,20.44,7.32,440.1,2333.9,687.0,26.94,42.4,28.1,528.3,1,OIL_STAIN,False
23.99,19.52,6.41,375.2,2099.1,637.9,20.97,47.8,30.3,581.2,1,OIL_STAIN,False
28.9,17.94,4.58,351.1,1896.4,596.8,22.87,58.6,20.0,512.6,3,BORDER_SEWING_DEFECT,False
23.72,13.1,4.95,291.4,1919.5,632.7,20.12,55.5,21.0,467.5,3,BORDER_SEWING_DEFECT,False
25.59,17.67,4.62,495.9,2587.7,723.7,20.59,66.9,23.2,639.0,2,JACQUARD_PATTERN_SHIFT,False
27.48,15.4,5.71,453.5,2259.3,594.3,22.68,40.7,29.4,512.8,1,OIL_STAIN,False
28.32,14.8,5.42,423.1,2479.0,740.9,20.95,62.7,24.8,667.9,2,JACQUARD_PATTERN_SHIFT,False
24.39,21.79,9.07,451.9,2219.9,676.7,21.12,39.6,33.1,544.3,1,OIL_STAIN,False
24.95,17.45,7.62,456.9,2297.8,632.0,23.41,38.1,33.2,510.9,1,OIL_STAIN,False
26.16,17.8,8.25,443.4,2254.8,656.6,17.29,45.3,31.3,561.2,1,OIL_STAIN,False
29.52,22.63,7.88,449.8,2270.5,596.9,26.61,46.3,31.0,634.1,1,OIL_STAIN,False
24.95,20.48,7.36,427.8,2210.2,665.2,21.92,42.7,34.4,498.6,1,OIL_STAIN,False
13.96,10.22,3.51,416.9,2236.3,689.5,43.96,61.1,25.6,523.6,0,YARN_BREAKAGE,False
24.72,16.75,7.85,466.0,2273.6,665.8,27.32,42.9,31.1,568.4,1,OIL_STAIN,False
22.64,23.1,6.23,436.0,2287.1,615.2,21.92,40.0,28.5,542.7,1,OIL_STAIN,False
9.76,9.92,3.71,483.8,2351.6,639.0,36.37,61.1,23.4,511.6,0,YARN_BREAKAGE,False
29.84,19.21,4.2,477.8,2399.6,676.9,27.82,67.0,23.4,661.4,2,JACQUARD_PATTERN_SHIFT,False
27.27,19.63,9.43,435.3,2280.6,689.9,26.02,41.5,29.7,525.8,1,OIL_STAIN,False
30.9,17.96,4.72,469.2,2463.9,719.2,24.25,55.2,24.4,625.1,2,JACQUARD_PATTERN_SHIFT,False
27.89,14.71,4.85,452.2,2431.7,762.2,26.71,59.1,23.4,589.2,2,JACQUARD_PATTERN_SHIFT,False
27.44,15.52,3.92,460.1,2449.4,678.9,20.9,67.0,28.9,589.0,2,JACQUARD_PATTERN_SHIFT,False
25.36,11.67,3.14,346.8,1991.3,586.4,19.17,52.9,25.1,536.6,3,BORDER_SEWING_DEFECT,False
25.66,14.75,4.11,295.7,1833.7,567.7,19.47,56.5,23.5,553.4,3,BORDER_SEWING_DEFECT,False
19.88,18.1,4.48,304.6,1931.3,571.4,21.43,59.4,22.0,525.5,3,BORDER_SEWING_DEFECT,False
24.7,18.44,4.06,325.1,2029.2,561.5,24.17,52.7,19.9,527.0,3,BORDER_SEWING_DEFECT,False
22.83,17.85,3.21,324.5,2023.8,548.9,16.68,64.6,25.3,499.9,3,BORDER_SEWING_DEFECT,False
21.11,17.18,4.15,325.1,1882.7,588.3,19.57,60.3,21.1,499.5,3,BORDER_SEWING_DEFECT,False
15.42,8.33,2.88,409.4,2350.3,579.9,45.29,59.3,26.6,494.4,0,YARN_BREAKAGE,False
29.14,18.75,8.97,444.3,2298.8,524.5,18.26,49.0,31.1,542.9,1,OIL_STAIN,False
21.87,15.08,4.24,308.2,1884.7,535.1,21.93,63.5,24.0,485.0,3,BORDER_SEWING_DEFECT,False
21.33,12.77,9.59,423.3,2230.3,568.5,26.26,40.9,30.5,573.7,1,OIL_STAIN,False
27.96,19.09,5.12,473.4,2516.0,722.1,21.42,60.0,27.9,636.3,2,JACQUARD_PATTERN_SHIFT,False
21.42,18.14,4.34,296.2,1994.2,568.0,17.48,68.5,19.8,506.1,3,BORDER_SEWING_DEFECT,False
16.95,10.48,5.12,409.3,2124.2,595.3,41.42,61.5,24.8,538.4,0,YARN_BREAKAGE,False
26.59,17.54,6.88,460.4,2284.5,618.2,16.53,42.6,31.8,606.9,1,OIL_STAIN,False
22.03,15.91,2.38,284.1,2040.8,655.0,17.78,58.3,21.9,555.8,3,BORDER_SEWING_DEFECT,False
28.75,17.56,7.74,470.0,2321.9,625.7,23.8,46.8,32.5,535.1,1,OIL_STAIN,False
18.16,12.33,4.91,461.9,2134.6,589.3,38.9,51.6,23.9,484.2,0,YARN_BREAKAGE,False
19.99,16.9,3.46,336.2,1808.1,542.0,17.23,63.4,24.0,500.3,3,BORDER_SEWING_DEFECT,False
28.25,18.92,4.89,441.4,2431.7,698.6,23.27,57.5,20.2,645.1,2,JACQUARD_PATTERN_SHIFT,False
27.63,19.45,6.87,403.0,2343.2,677.2,18.48,48.6,32.0,571.7,1,OIL_STAIN,False
24.12,14.52,7.8,410.7,2264.7,621.5,24.03,33.5,30.3,486.8,1,OIL_STAIN,False
14.07,6.62,4.96,424.6,2276.9,619.5,44.62,59.1,23.1,515.8,0,YARN_BREAKAGE,False
27.65,22.83,3.95,468.8,2553.3,714.4,26.11,68.8,23.9,612.0,2,JACQUARD_PATTERN_SHIFT,False
24.06,16.65,7.99,421.1,2297.5,624.9,19.2,46.9,28.8,551.1,1,OIL_STAIN,False
15.71,8.21,5.03,415.0,2143.6,595.5,37.48,51.3,22.4,537.8,0,YARN_BREAKAGE,False
18.55,14.98,5.13,283.5,1940.4,627.4,21.87,64.6,24.4,459.3,3,BORDER_SEWING_DEFECT,False
24.96,11.62,5.55,354.1,1879.8,591.8,15.6,62.1,21.5,520.9,3,BORDER_SEWING_DEFECT,False
29.48,18.41,6.69,416.7,2271.6,643.1,20.23,42.4,33.5,535.5,1,OIL_STAIN,False
21.41,12.16,3.03,354.5,1990.7,634.1,23.05,62.0,22.2,448.0,3,BORDER_SEWING_DEFECT,False
26.23,21.1,3.53,461.0,2537.8,733.0,26.82,61.5,27.8,624.3,2,JACQUARD_PATTERN_SHIFT,False
25.44,17.55,5.33,416.9,2444.8,770.7,20.73,48.6,24.9,638.1,2,JACQUARD_PATTERN_SHIFT,False
27.13,17.78,5.34,325.1,2008.9,555.9,18.0,61.3,25.8,447.7,3,BORDER_SEWING_DEFECT,False
35.75,13.64,7.01,524.3,1813.6,704.5,80.05,62.9,38.3,466.4,-1,ANOMALOUS_NOISE,True
16.03,7.23,4.0,415.6,2290.5,580.0,43.78,49.7,25.7,525.8,0,YARN_BREAKAGE,False
24.23,17.47,4.07,493.5,2477.0,702.2,28.23,66.7,21.7,628.4,2,JACQUARD_PATTERN_SHIFT,False
20.78,12.89,6.67,415.7,2172.0,655.9,19.87,37.4,28.4,559.4,1,OIL_STAIN,False
25.76,18.1,7.41,444.6,2400.5,589.7,28.79,40.4,30.8,572.1,1,OIL_STAIN,False
21.27,13.4,6.81,463.4,2286.9,635.6,25.45,44.8,29.9,539.1,1,OIL_STAIN,False
16.3,8.99,5.37,448.7,2220.4,561.1,45.48,54.5,23.7,525.9,0,YARN_BREAKAGE,False
13.6,9.82,4.03,397.0,2226.2,626.8,37.68,59.4,25.6,517.6,0,YARN_BREAKAGE,False
13.71,8.37,4.6,410.7,2173.9,597.7,46.37,67.1,27.5,482.1,0,YARN_BREAKAGE,False
30.6,20.23,3.78,452.3,2475.6,725.2,26.09,66.0,24.4,635.4,2,JACQUARD_PATTERN_SHIFT,False
32.43,14.14,7.87,452.2,2172.9,591.4,19.66,45.2,30.3,547.2,1,OIL_STAIN,False
15.59,8.17,5.22,387.2,2137.0,600.6,43.3,57.8,23.2,578.9,0,YARN_BREAKAGE,False
25.88,17.31,6.59,469.8,2136.3,609.0,23.58,47.1,31.7,529.7,1,OIL_STAIN,False
22.61,14.47,4.61,296.9,1955.4,502.7,21.23,69.7,23.5,516.7,3,BORDER_SEWING_DEFECT,False
24.43,20.57,3.77,317.8,1864.1,576.1,19.47,67.9,24.7,486.8,3,BORDER_SEWING_DEFECT,False
15.52,9.73,4.75,463.8,2204.8,575.7,37.0,61.4,23.8,544.2,0,YARN_BREAKAGE,False
23.13,8.73,4.51,323.6,1952.3,602.1,21.56,67.6,25.6,575.5,3,BORDER_SEWING_DEFECT,False
15.72,9.13,4.15,432.4,2177.6,544.5,31.4,54.9,24.8,523.8,0,YARN_BREAKAGE,False
12.15,7.4,3.21,482.3,2297.7,630.0,47.38,61.7,22.8,504.0,0,YARN_BREAKAGE,False
11.08,9.02,4.65,422.0,2109.6,596.5,42.29,62.9,21.5,546.3,0,YARN_BREAKAGE,False
25.48,16.57,6.92,463.7,2272.0,603.9,18.28,39.8,31.8,558.6,1,OIL_STAIN,False
25.93,18.6,8.07,438.2,2210.8,617.1,25.22,45.6,31.1,507.8,1,OIL_STAIN,False
26.27,19.44,4.91,477.0,2456.6,681.7,22.56,57.8,23.8,654.6,2,JACQUARD_PATTERN_SHIFT,False
25.52,16.26,4.7,452.3,2441.7,701.7,22.09,69.1,25.2,615.8,2,JACQUARD_PATTERN_SHIFT,False
25.04,19.3,8.14,493.9,2378.2,589.4,18.84,37.7,29.3,521.2,1,OIL_STAIN,False
17.01,12.35,3.36,430.3,2280.6,574.7,48.02,66.9,24.2,579.0,0,YARN_BREAKAGE,False
22.24,15.75,2.67,294.5,1968.5,620.8,16.54,63.4,25.0,492.1,3,BORDER_SEWING_DEFECT,False
24.4,27.19,7.61,249.8,2863.2,409.5,79.13,46.2,35.1,628.9,-1,ANOMALOUS_NOISE,True
30.3,20.98,4.27,481.9,2498.4,720.8,21.65,58.7,22.3,601.3,2,JACQUARD_PATTERN_SHIFT,False
29.56,17.65,4.11,481.2,2415.9,670.4,21.28,67.9,23.4,660.1,2,JACQUARD_PATTERN_SHIFT,False
25.34,17.11,4.15,288.2,2013.3,645.8,20.93,61.5,22.2,521.6,3,BORDER_SEWING_DEFECT,False
26.74,18.46,4.19,432.7,2429.9,719.7,27.09,59.3,24.9,668.0,2,JACQUARD_PATTERN_SHIFT,False
27.31,14.13,7.38,390.6,2082.7,663.1,25.78,46.8,32.3,512.4,1,OIL_STAIN,False
27.96,14.26,7.53,376.2,2197.7,590.1,21.34,46.4,33.8,551.3,1,OIL_STAIN,False
18.39,15.65,4.23,337.1,1853.4,569.6,26.64,59.2,21.7,502.1,3,BORDER_SEWING_DEFECT,False
16.83,10.21,4.38,438.5,2168.3,593.9,41.04,62.2,24.7,570.1,0,YARN_BREAKAGE,False
29.2,13.4,4.29,303.1,1784.2,525.6,20.52,58.9,22.3,492.6,3,BORDER_SEWING_DEFECT,False
24.4,17.62,4.03,438.0,2387.1,688.7,28.37,60.6,20.6,662.4,2,JACQUARD_PATTERN_SHIFT,False
30.15,17.29,3.35,477.8,2495.8,699.6,29.1,68.9,24.0,651.9,2,JACQUARD_PATTERN_SHIFT,False
21.43,11.92,4.12,311.7,2083.2,588.9,21.27,53.1,22.7,491.7,3,BORDER_SEWING_DEFECT,False
24.95,14.48,3.81,291.9,2061.7,598.1,18.74,63.4,22.1,488.1,3,BORDER_SEWING_DEFECT,False
26.71,22.18,3.44,489.0,2530.5,682.2,18.11,58.7,22.7,632.6,2,JACQUARD_PATTERN_SHIFT,False
27.6,14.79,3.16,318.9,1923.6,607.6,15.19,66.5,22.2,565.7,3,BORDER_SEWING_DEFECT,False
32.23,13.07,8.36,424.9,2208.0,627.2,23.14,45.7,30.4,565.9,1,OIL_STAIN,False
25.96,16.33,3.44,482.3,2501.3,775.5,20.97,57.8,24.4,652.8,2,JACQUARD_PATTERN_SHIFT,False
25.35,19.3,5.0,303.2,2043.1,662.4,22.67,66.8,24.0,523.9,3,BORDER_SEWING_DEFECT,False
27.13,17.47,4.02,441.5,2476.8,704.9,19.39,54.2,27.3,632.3,2,JACQUARD_PATTERN_SHIFT,False
